Title,Year
Harakiri,1962
12 Angry Men,1957
Come and See,1985
Seven Samurai,1954
The Human Condition III: A Soldier's Prayer,1961
High and Low,1963
The Godfather Part II,1974
The Shawshank Redemption,1994
City of God,2002
Parasite,2019
Yi Yi,2000
The Godfather,1972
Schindler's List,1993
The Human Condition I: No Greater Love,1959
The Lord of the Rings: The Return of the King,2003
Ikiru,1952
Ran,1985
La Haine,1995
A Brighter Summer Day,1991
"The Good, the Bad and the Ugly",1966
Le Trou,1960
Cinema Paradiso,1988
Autumn Sonata,1978
The Dark Knight,2008
Grave of the Fireflies,1988
The End of Evangelion,1997
Goodfellas,1990
Woman in the Dunes,1964
There Will Be Blood,2007
Spirited Away,2001
Paths of Glory,1957
The Human Condition II: Road to Eternity,1959
Andrei Rublev,1966
Apocalypse Now,1979
The Apartment,1960
Tokyo Story,1953
Sunset Boulevard,1950
The Cranes Are Flying,1957
The Passion of Joan of Arc,1928
Incendies,2010
Portrait of a Lady on Fire,2019
Whiplash,2014
Mishima: A Life in Four Chapters,1985
Fanny and Alexander,1982
Spider-Man: Across the Spider-Verse,2023
Close-Up,1990
The Battle of Algiers,1966
Interstellar,2014
Memories of Murder,2003
The Lord of the Rings: The Two Towers,2002
The Ascent,1977
It's a Wonderful Life,1946
I Am Cuba,1964
Sansho the Bailiff,1954
Stalker,1979
Spider-Man: Into the Spider-Verse,2018
The Empire Strikes Back,1980
The Red Shoes,1948
Do the Right Thing,1989
A Woman Under the Influence,1974
The Handmaiden,2016
Persona,1966
Dune: Part Two,2024
Barry Lyndon,1975
The Pianist,2002
Nights of Cabiria,1957
Once Upon a Time in the West,1968
Perfect Blue,1997
Nobody Knows,2004
In the Mood for Love,2000
"Paris, Texas",1984
Princess Mononoke,1997
Witness for the Prosecution,1957
Red Beard,1965
Lawrence of Arabia,1962
Love Exposure,2008
Eternity and a Day,1998
The Lord of the Rings: The Fellowship of the Ring,2001
Sherlock Jr.,1924
Oldboy,2003
Life Is Beautiful,1997
Scenes from a Marriage,1973
Satantango,1994
Rear Window,1954
It's Such a Beautiful Day,2012
Where Is the Friend's House?,1987
A Separation,2011
One Flew Over the Cuckoo's Nest,1975
Paper Moon,1973
An Elephant Sitting Still,2018
Landscape in the Mist,1988
All About Eve,1950
The Thing,1982
Army of Shadows,1969
The World of Apu,1959
Inglourious Basterds,2009
Farewell My Concubine,1993
Ordet,1955
Se7en,1995
A Man Escaped,1956
Good Will Hunting,1997
Howl's Moving Castle,2004
The Wages of Fear,1953
Three Colors: Red,1994
Singin' in the Rain,1952
How to Make Millions Before Grandma Dies,2024
The Silence of the Lambs,1991
City Lights,1931
Late Spring,1949
Amadeus,1984
The Seventh Seal,1957
All That Jazz,1979
Wild Strawberries,1957
Still Walking,2008
Mirror,1975
Z,1969
Before Sunset,2004
Central Station,1998
I'm Still Here,2024
Brief Encounter,1945
No Country for Old Men,2007
The Great Dictator,1940
To Be or Not to Be,1942
The Departed,2006
Raise the Red Lantern,1991
Monster,2023
Funeral Parade of Roses,1969
The Young Girls of Rochefort,1967
Taste of Cherry,1997
Before Sunrise,1995
Psycho,1960
A Special Day,1977
Mommy,2014
Pather Panchali,1955
Tampopo,1985
Dog Day Afternoon,1975
The 400 Blows,1959
Judgment at Nuremberg,1961
Das Boot,1981
Dead Poets Society,1989
Wings of Desire,1987
Rocco and His Brothers,1960
Prisoners,2013
Werckmeister Harmonies,2000
The Celebration,1998
M,1931
Swing Girls,2004
Yojimbo,1961
Django Unchained,2012
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Shoplifters,2018
Children of Men,2006
Bicycle Thieves,1948
Perfect Days,2023
Chinatown,1974
The Sacrifice,1986
The Treasure of the Sierra Madre,1948
Underground,1995
8½,1963
The Father,2020
Sing Sing,2023
Chungking Express,1994
Terminator 2: Judgment Day,1991
Fantastic Mr. Fox,2009
La Notte,1961
Opening Night,1977
Heat,1995
The Lives of Others,2006
The Hunt,2012
Akira,1988
Nostalghia,1983
Children of Paradise,1945
Evangelion: 3.0+1.0 Thrice Upon a Time,2021
The Elephant Man,1980
The Cremator,1969
Throne of Blood,1957
The Man Who Shot Liberty Valance,1962
La Dolce Vita,1960
Secrets & Lies,1996
Casablanca,1942
2001: A Space Odyssey,1968
Everything Everywhere All at Once,2022
Fight Club,1999
Samurai Rebellion,1967
Dersu Uzala,1975
Twin Peaks: Fire Walk with Me,1992
Modern Times,1936
Ace in the Hole,1951
Life and Nothing More...,1992
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",1975
Look Back,2024
The Night of the Hunter,1955
Who's Afraid of Virginia Woolf?,1966
The Iron Giant,1999
Network,1976
Some Like It Hot,1959
Double Indemnity,1944
Cure,1997
Ugetsu,1953
Mulholland Drive,2001
Alien,1979
Rififi,1955
The Prestige,2006
Mary and Max,2009
Pulp Fiction,1994
Metropolis,1927
The Green Mile,1999
The Tale of the Princess Kaguya,2013
A Matter of Life and Death,1946
Ritual,2000
Malcolm X,1992
The Third Man,1949
Sorcerer,1977
Umberto D.,1952
Winter Light,1963
Aparajito,1956
Saving Private Ryan,1998
We All Loved Each Other So Much,1974
Puella Magi Madoka Magica the Movie Part 3: Rebellion,2013
The First Slam Dunk,2022
Eternal Sunshine of the Spotless Mind,2004
Sweet Smell of Success,1957
The Grand Budapest Hotel,2014
Marcel the Shell with Shoes On,2022
The Bridge on the River Kwai,1957
Song of the Sea,2014
Il Sorpasso,1962
Anatomy of a Murder,1959
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003
The King of Comedy,1982
The Face of Another,1966
Napoleon,1927
The Holdovers,2023
"4 Months, 3 Weeks and 2 Days",2007
Kes,1969
Raging Bull,1980
Azur & Asmar: The Princes' Quest,2006
Solaris,1972
Vertigo,1958
The Best Years of Our Lives,1946
Le Samouraï,1967
Tokyo Godfathers,2003
Kwaidan,1964
The Shining,1980
The Disappearance of Haruhi Suzumiya,2010
Fail Safe,2000
The Life and Death of Colonel Blimp,1943
An Autumn Afternoon,1962
Millennium Actress,2001
Amour,2012
