Title,Year
Citizen Kane,1941
Vertigo,1958
2001: A Space Odyssey,1968
Tokyo Story,1953
The Rules of the Game,1939
The Godfather,1972
8½,1963
Sunrise: A Song of Two Humans,1927
The Searchers,1956
Seven Samurai,1954
Singin' in the Rain,1952
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",1975
Apocalypse Now,1979
Taxi Driver,1976
Bicycle Thieves,1948
Persona,1966
In the Mood for Love,2000
Breathless,1960
The Passion of Joan of Arc,1928
Battleship Potemkin,1925
L'Atalante,1934
Man with a Movie Camera,1929
Mirror,1975
Psycho,1960
Rashomon,1950
City Lights,1931
The 400 Blows,1959
Andrei Rublev,1966
Mulholland Dr.,2001
The Godfather Part II,1974
Some Like it Hot,1959
Au hasard Balthazar,1966
La Dolce vita,1960
Ordet,1955
Raging Bull,1980
The Night of the Hunter,1955
Casablanca,1942
L'Avventura,1960
Blade Runner,1982
Rear Window,1954
Sunset Blvd.,1950
Touch of Evil,1958
Barry Lyndon,1975
Contempt,1963
Playtime,1967
Pather Panchali,1955
Close-Up,1990
Lawrence of Arabia,1962
Stalker,1979
The General,1926
Modern Times,1936
Beau travail,1999
M,1931
The Third Man,1949
Late Spring,1949
The Apartment,1960
North by Northwest,1959
Ugetsu monogatari,1953
GoodFellas,1990
The Battle of Algiers,1966
La Grande illusion,1937
Wild Strawberries,1957
Rio Bravo,1959
Fanny and Alexander,1982
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Shoah,1985
Once Upon a Time in the West,1968
Chinatown,1974
Journey to Italy,1954
Pierrot le fou,1965
Do the Right Thing,1989
Metropolis,1927
A Woman Under the Influence,1974
Les Enfants du paradis,1945
La Strada,1954
The Leopard,1963
Amarcord,1973
It's a Wonderful Life,1946
The Wild Bunch,1969
Pulp Fiction,1994
Viridiana,1961
Jaws,1975
The Shining,1980
A Man Escaped,1956
Blue Velvet,1986
Sansho the Bailiff,1954
The Conformist,1970
The Seventh Seal,1957
The Man Who Shot Liberty Valance,1962
Nashville,1975
The Magnificent Ambersons,1942
Pickpocket,1959
The Gold Rush,1925
La Jetée,1962
Gertrud,1964
Sans soleil,1983
Cléo from 5 to 7,1962
Jules et Jim,1962
To Be or Not to Be,1942
Meshes of the Afternoon,1943
The Mother and the Whore,1973
Sátántangó,1994
Madame de...,1953
Sherlock Jr.,1924
A Clockwork Orange,1971
Ikiru,1952
Ali: Fear Eats the Soul,1974
"Aguirre, the Wrath of God",1972
Come and See,1985
Annie Hall,1977
The Spirit of the Beehive,1973
Last Year at Marienbad,1961
Once Upon a Time in America,1984
Greed,1924
The Wizard of Oz,1939
The Piano,1993
A Brighter Summer Day,1991
Yi Yi,2000
Don't Look Now,1973
Hiroshima mon amour,1959
The Red Shoes,1948
Alien,1979
E.T. The Extra-Terrestrial,1982
Bringing Up Baby,1938
Blow-Up,1966
A Day in the Country,1936
Notorious,1946
Vivre sa vie,1962
Intolerance,1916
L'Eclisse,1962
Spirited Away,2001
A Matter of Life and Death,1946
Letter from an Unknown Woman,1948
All About Eve,1950
Los Olvidados,1950
The Exterminating Angel,1962
Star Wars,1977
Imitation of Life,1959
His Girl Friday,1940
Histoire(s) du cinéma,1988
Gone with the Wind,1939
Nosferatu,1922
There Will Be Blood,2007
My Darling Clementine,1946
"Rome, Open City",1945
Daisies,1966
Wanda,1970
Céline and Julie Go Boating,1974
The Gospel According to St. Matthew,1964
One Flew Over the Cuckoo's Nest,1975
The Umbrellas of Cherbourg,1964
The Conversation,1974
Killer of Sheep,1977
Un Chien andalou,1928
Days of Heaven,1978
"The Good, the Bad and the Ugly",1966
Double Indemnity,1944
Trouble in Paradise,1932
The Deer Hunter,1978
L'Argent,1983
Chungking Express,1994
My Neighbour Totoro,1988
Cries and Whispers,1972
Tropical Malady,2004
Manhattan,1979
Rosemary's Baby,1968
The Passenger,1975
Badlands,1973
L'Âge d'or,1930
The Texas Chain Saw Massacre,1974
Dekalog,1989
The Discreet Charm of the Bourgeoisie,1972
Portrait of a Lady on Fire,2019
Raiders of the Lost Ark,1981
Only Angels Have Wings,1939
Stagecoach,1939
Brief Encounter,1945
Touki Bouki,1973
Duck Soup,1933
Close Encounters of the Third Kind,1977
The Birds,1963
Johnny Guitar,1954
Ran,1985
Mouchette,1967
The Colour of Pomegranates,1969
Earth,1930
Vampyr,1932
Napoléon,1927
Out of the Past,1947
"Paris, Texas",1984
The River,1951
The Tree of Life,2011
Chimes at Midnight,1965
Black Narcissus,1947
The Gleaners & I,2000
La Notte,1961
Paisan,1946
King Kong,1933
Nights of Cabiria,1957
Rocco and His Brothers,1960
Spring in a Small Town,1948
"Salò, or the 120 Days of Sodom",1975
The Lady Eve,1941
On the Waterfront,1954
The Last Laugh,1924
A City of Sadness,1989
News from Home,1976
The Thing,1982
Vagabond,1985
The Great Dictator,1940
Magnolia,1999
Death in Venice,1971
Wings of Desire,1987
The Life and Death of Colonel Blimp,1943
Moonlight,2016
Breaking the Waves,1996
Solaris,1972
The Quiet Man,1952
Wavelength,1967
Brazil,1985
Le Samouraï,1967
Kes,1969
Zero for Conduct,1933
Umberto D.,1952
Where is the Friend's House?,1987
The Grapes of Wrath,1940
The Big Lebowski,1998
Eternal Sunshine of the Spotless Mind,2004
The Best Years of Our Lives,1946
The Life of Oharu,1952
Parasite,2019
Sullivan's Travels,1941
Back to the Future,1985
The Matrix,1999
McCabe & Mrs. Miller,1971
The Travelling Players,1975
"Black God, White Devil",1964
Love Streams,1984
The House is Black,1963
"Germany, Year Zero",1948
The Crowd,1928
Ashes and Diamonds,1958
Red Desert,1964
Memories of Underdevelopment,1968
Eraserhead,1977
"Ivan the Terrible, Part II",1946
In a Lonely Place,1950
The Band Wagon,1953
The Graduate,1967
"Ivan the Terrible, Part I",1944
Schindler's List,1993
Caché,2005
An Autumn Afternoon,1962
Performance,1970
The Exorcist,1973
Heat,1995
Meet Me in St. Louis,1944
The Thin Red Line,1998
Cinema Paradiso,1988
Daughters of the Dust,1991
Belle de jour,1967
The Green Ray,1986
Eyes Wide Shut,1999
El Verdugo,1963
Fargo,1996
Diary of a Country Priest,1951
Uncle Boonmee Who Can Recall His Past Lives,2010
The Treasure of the Sierra Madre,1948
F for Fake,1973
The Cabinet of Dr. Caligari,1920
Red River,1948
Tabu,1931
Night and Fog,1955
La Ciénaga,2001
Three Colours: Blue,1993
Kind Hearts and Coronets,1949
Sweet Smell of Success,1957
Taste of Cherry,1997
Day of Wrath,1943
My Night at Maud's,1969
Black Girl,1966
All That Jazz,1979
Groundhog Day,1993
The Shop Around the Corner,1940
Paths of Glory,1957
The Ascent,1977
The Story of the Last Chrysanthemums,1939
"Goodbye, Dragon Inn",2003
Pandora's Box,1929
India Song,1975
Army of Shadows,1969
Throne of Blood,1957
2 or 3 Things I Know About Her,1967
All That Heaven Allows,1955
The Sacrifice,1986
Cabaret,1972
All About My Mother,1999
Three Colours: Red,1994
City of God,2002
Unforgiven,1992
The Big Sleep,1946
Mean Streets,1973
"Distant Voices, Still Lives",1988
Happy Together,1997
The Empire Strikes Back,1980
The Maltese Falcon,1941
Werckmeister Harmonies,2000
Terra em Transe,1967
The Music Room,1958
Mr. Hulot's Holiday,1953
A Separation,2011
Floating Clouds,1955
Freaks,1932
Midnight Cowboy,1969
Charulata,1964
Nanook of the North,1922
The World of Apu,1959
Faces,1968
Melancholia,2011
Amadeus,1984
High and Low,1963
The King of Comedy,1982
In the Realm of the Senses,1976
Videodrome,1983
I Am Cuba,1964
Monsieur Verdoux,1947
Harold and Maude,1971
Husbands,1970
Lola Montès,1955
Pyaasa,1957
Kings of the Road,1976
La Belle et la bête,1946
The Philadelphia Story,1940
Dog Day Afternoon,1975
Berlin Alexanderplatz [TV],1980
A Canterbury Tale,1944
The Kid,1921
The Young Girls of Rochefort,1967
West Side Story,1961
The Wages of Fear,1953
Mad Max: Fury Road,2015
Tie Xi Qu: West of the Tracks,2002
Bonnie and Clyde,1967
Some Came Running,1958
Get Out,2017
The Time to Live and the Time to Die,1985
Broken Blossoms,1919
Kiss Me Deadly,1955
Underground,1995
The Tree of Wooden Clogs,1978
The Double Life of Véronique,1991
Aliens,1986
The Last Picture Show,1971
It Happened One Night,1934
The Elephant Man,1980
Weekend,1967
Opening Night,1977
The Cranes Are Flying,1957
A Touch of Zen,1971
The Puppetmaster,1993
The Cloud-Capped Star,1960
The Silence of the Lambs,1991
Night of the Living Dead,1968
Last Tango in Paris,1972
The Turin Horse,2011
How Green Was My Valley,1941
Written on the Wind,1956
El,1953
Safe,1995
Peeping Tom,1960
All the President's Men,1976
Out 1,1971
The Quince Tree Sun,1992
Make Way for Tomorrow,1937
Heaven's Gate,1980
The Killing of a Chinese Bookie,1976
Yojimbo,1961
Muriel,1963
Fitzcarraldo,1982
Through the Olive Trees,1994
Marnie,1964
This is Spinal Tap,1984
The White Ribbon,2009
Two-Lane Blacktop,1971
Stromboli,1950
An Affair to Remember,1957
Teorema,1968
Lost Highway,1997
"I Was Born, But...",1932
Stranger Than Paradise,1984
Dogville,2003
Under the Skin,2013
Tristana,1970
The Hour of the Furnaces,1968
Woman in the Dunes,1964
Mon oncle,1958
Day for Night,1973
The Long Goodbye,1973
In a Year with 13 Moons,1978
Nostalghia,1983
Limite,1931
The Thin Blue Line,1988
Orlando,1992
Fantasia,1940
The Flowers of St. Francis,1950
Eyes Without a Face,1960
The Tenant,1976
The Birth of a Nation,1915
Dawn of the Dead,1978
Crimes and Misdemeanors,1989
The Headless Woman,2008
Suspiria,1977
I Know Where I'm Going!,1945
1900,1976
Lost in Translation,2003
Toni Erdmann,2016
Orpheus,1950
Snow White and the Seven Dwarfs,1937
Miracle in Milan,1951
Splendor in the Grass,1961
Le Plaisir,1952
Twenty Years Later,1984
The Innocents,1961
Europa '51,1952
Network,1976
Le Bonheur,1965
Scenes from a Marriage,1973
Holy Motors,2012
The Awful Truth,1937
An Angel at My Table,1990
Chelsea Girls,1966
Bride of Frankenstein,1935
A.I. Artificial Intelligence,2001
Salvatore Giuliano,1962
Days of Being Wild,1990
Possession,1981
Casino,1995
Naked,1993
No Country for Old Men,2007
Phantom Thread,2017
If….,1968
A Star is Born,1954
Winter Light,1963
French Cancan,1955
Shadows of Forgotten Ancestors,1965
Carrie,1976
Boogie Nights,1997
The Act of Killing,2012
The Shawshank Redemption,1994
Listen to Britain,1942
Songs from the Second Floor,2000
Ivan's Childhood,1962
Accattone,1961
Limelight,1952
The Cameraman,1928
The Scarlet Empress,1934
La Terra trema,1948
The Wind,1928
Syndromes and a Century,2006
The Crime of Monsieur Lange,1936
Festen,1998
October,1928
Flowers of Shanghai,1998
A Trip to the Moon,1902
In Vanda's Room,2000
Pan's Labyrinth,2006
À nos amours,1983
Koyaanisqatsi,1982
Dersu Uzala,1975
Pinocchio,1940
Lola,1961
Grave of the Fireflies,1988
Barren Lives,1963
The Dead,1987
Shoot the Piano Player,1960
Platform,2000
Once Upon a Time in Anatolia,2011
Elephant,2003
Wagon Master,1950
Oldboy,2003
Paris is Burning,1990
High Noon,1952
To Kill a Mockingbird,1962
Talk to Her,2002
Withnail & I,1987
"Harlan County, U.S.A.",1976
"Steamboat Bill, Jr.",1928
La Région centrale,1971
Five Easy Pieces,1970
The Palm Beach Story,1942
Senso,1954
Fight Club,1999
The Death of Mr. Lazarescu,2005
Landscape in the Mist,1988
By the Bluest of Seas,1936
Zama,2017
Secrets & Lies,1996
